Executable name	Version	Application name	Application category	Number of devices	Number of executions	Average memory usage per execution [bytes]
try_march_60h6fild.exe	0.0.0.0	unknown	-	1	1	-
igfxtray.exe	0.0.0.0	unknown	Utility & Device driver	6	26	-
postman.exe	7.18.0.0	Postman	-	1	2	-
wermgr.exe	10.0.16299.1268	Microsoft Windows Operating System	Operating System	1	1	-
secedit.exe	10.0.17134.1	Microsoft Windows Operating System	Operating System	3	54	-
oui.exe	0.0.0.0	unknown	-	2	5	-
msbuild.exe	14.0.27522.0	Microsoft Build Tools 2015	-	1	2	-
rstrui.exe	6.1.7601.24358	Microsoft Windows Operating System	Operating System	1	3	-
lodctr.exe	10.0.16299.15	Microsoft Windows Operating System	Operating System	2	27	-
openssl.exe	1.1.1.4	The OpenSSL Toolkit	-	1	3	-
wbxreport.exe	4001.0.1912.1800	WBXReport Module	Instant messaging & Video-conferencing	6	18	-
updater.exe	72.0.2.7321	Firefox	Utility & Device driver	3	9	-
ccxprocess.exe	3.6.1.2	CCXProcess	-	1	3	-
alert.exe	1.0.0.0	Alert	-	1	2	-
printinf64.exe	15.16.20039.54196	unknown	Unknown	18	52	-
grammarlyforwindows.exe	2.0.18.0	Grammarly	-	1	2	-
mitigationscanner.exe	10.0.18362.1	Microsoft Windows Operating System	Operating System	4	17	-
msouc.exe	16.0.11328.20368	Microsoft Office	Office	2	2	-
efserver.exe	1.0.0.0	EFServer	-	1	1	-
sdxhelper.exe	16.0.11328.20468	Microsoft Office	Office	4	90	-
wermgr.exe	10.0.17763.1075	Microsoft Windows Operating System	Operating System	2	15	-
reg.exe	10.0.18362.476	Microsoft Windows Operating System	Operating System	2	4	-
updater.exe	3.2.129.0	ExcelAddin	-	4	144	-
netstat.exe	6.1.7600.16385	Microsoft Windows Operating System	Operating System	164	3007	-
olicenseheartbeat.exe	16.0.10730.20304	Office Subscription Licensing Heartbeat	Other	1	3	-
fxc_proxyprocess.exe	9.0.1.44	Foxit PDF Printer: Reliable Affordable Efficient	-	19	61	-
typescript_sdk.exe	3.7.3.0	TypeScript SDK 3.7.3.0	-	1	4	-
dllhost.exe	10.0.14393.0	Microsoft Windows Operating System	Operating System	6	26	-
emsigner.exe	0.0.0.0	unknown	Unknown	1	1	-
demoapp.exe	1.0.0.0	DemoApp	-	1	1	-
tasklist.exe	10.0.16299.15	Microsoft Windows Operating System	Operating System	20	181527	-
mscorsvw.exe	4.6.1055.0	Microsoft .NET Framework	Operating System	1	2	-
gup.exe	5.1.0.0	WinGup for Notepad	-	1	1	-
bbund.exe	2020.3.17.8	Bloomberg Professional - SmartClient	-	4	12	-
restarter.exe	1.3.0.17	IntelliJ Platform	-	2	3	-
ssoncom.exe	14.10.1.22	Citrix Receiver	-	1	2	-
musnotification.exe	10.0.18362.628	Microsoft Windows Operating System	Operating System	1	6	-
relpost.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	4	4	-
werfault.exe	10.0.18362.657	Microsoft Windows Operating System	Operating System	1	2	-
narrator.exe	10.0.16299.15	Microsoft Windows Operating System	Operating System	1	3	-
tstheme.exe	6.1.7600.16385	Microsoft Windows Operating System	Operating System	45	642	-
awk.exe	0.0.0.0	mintty	Network application	5	37	-
expr.exe	0.0.0.0	mintty	Unknown	2	24	-
ddconfigca.exe	16.0.30007.69	Microsoft Visual Studio	-	9	14	-
unix2dos.exe	0.0.0.0	mintty	-	10	26	-
basename.exe	0.0.0.0	unknown	Unknown	2	4	-
pdflauncher.exe	8.1.3.1	unknown	-	1	190	-
wuauclt.exe	10.0.18362.449	Microsoft Windows Operating System	Operating System	1	1	-
acroservicesupdater.exe	19.10.20064.48846	Adobe WebInstaller	-	10	11	-
intelpttekrecertification.exe	1.55.66.0	Intel PTT EK Recertification Service	Utility & Device driver	5	11	-
msohtmed.exe	14.0.7227.5000	Microsoft Office 2010	Office	17	23	-
firefox.exe	75.0.0.7398	Firefox	Browser	1	2	-
vs14-kb3095681.exe	14.0.23317.0	Update for Microsoft Visual Studio 2015 (KB3095681)	-	1	2	-
ruby.exe	2.4.6.354	Ruby interpreter 2.4.6p354 [x64-mingw32]	-	1	9	-
dtsaudioservice64.exe	1.0.0.0	DTS Post Processing APO	-	1	1	-
less.exe	0.0.0.0	unknown	-	1	2	-
vc_redist.x64.exe	14.24.28127.4	Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.24.28127	-	1	1	-
javaws.exe	11.151.2.12	Java Platform SE 8 U151	-	1	2	-
pcdrsysinfosystemboard.p5x	6.0.7106.1402	PC-Doctor for Windows	-	17	59	-
cptinstall.exe	4.7.2020.302	Zoom Video Call	-	1	1	-
vercmp.exe	0.0.0.0	unknown	-	1	1	-
taskkill.exe	10.0.16299.15	Microsoft Windows Operating System	Operating System	48	78	-
am_delta_patch_1.313.1418.0.exe	1.313.1441.0	Microsoft Malware Protection	-	2	2	-
easysettingbox.exe	1.0.0.42	unknown	-	1	2	-
java.exe	8.0.1210.13	Java Platform SE 8	-	1	133	-
getmac.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	10	34	-
icacls.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	73	455	-
vshivestub.exe	15.6.152.24297	unknown	Unknown	8	48	-
perfboost.exe	16.0.12527.20278	Microsoft ClickToRun Virtualization Optimization	Office	1	2	-
java.exe	8.0.2310.11	Java Platform SE 8	-	2	148	-
python.exe	3.6.2150.1013	Python	-	1	97	-
rzmacromw_v0.0.5.0.exe	0.0.5.0	Razer Macro Middleware	-	3	9	-
disksnapshot.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	83	291	-
msbuild.exe	4.7.2556.0	Microsoft .NET Framework	-	36	2519	-
toast.exe	1.0.0.0	unknown	-	1	2	-
aamcustomhook.exe	10.0.0.49	Adobe Application Manager	-	18	28	-
java.exe	8.0.45.15	Java Platform SE 8	-	3	439	-
bcssync.exe	14.0.4756.1000	Microsoft Office 2010	Office	5	14	-
msbuild.exe	4.6.1098.0	Microsoft .NET Framework	-	9	674	-
dsmusertask.exe	10.0.16299.15	Microsoft Windows Operating System	Operating System	37	101	-
consoleppupdate.exe	1.0.0.0	unknown	Unknown	3	3	-
clink_x64.exe	0.4.5.25585	unknown	Unknown	1	1	-
trustedinstaller.exe	10.0.14393.0	Microsoft Windows Operating System	Operating System	3	184	-
postman.exe	7.21.0.0	Postman	-	1	1	-
vcredist_x86.exe	14.15.26706.0	Microsoft Visual C++ 2017 Redistributable (x86) - 14.15.26706	-	1	2	-
