Executable name	Version	Number of executions	Average memory usage per execution [bytes]	Number of devices	Application name
fltldr.exe	16.0.11328.20314	175	-	33	Microsoft Office
msohtmed.exe	15.0.4545.1000	6	-	6	Microsoft Office 2013
msoia.exe	16.0.10730.20264	15	-	1	Microsoft Office
officec2rclient.exe	16.0.9126.2295	537	-	4	Microsoft Office
pdfreflow.exe	16.0.11328.20512	4	-	2	Microsoft Office
msoia.exe	16.0.12325.20276	31	-	1	Microsoft Office
sdxhelper.exe	16.0.11328.20468	90	-	4	Microsoft Office
fltldr.exe	16.0.11929.20110	103	-	18	Microsoft Office
protocolhandler.exe	14.0.7007.1000	180	-	31	Microsoft Office 2010
officec2rclient.exe	16.0.12325.20296	321	-	3	Microsoft Office
sdxhelper.exe	16.0.12231.20000	136	-	1	Microsoft Office
msohtmed.exe	14.0.7007.1000	26	-	25	Microsoft Office 2010
msohtmed.exe	14.0.4730.1010	2	-	2	Microsoft Office 2010
msohtmed.exe	14.0.7007.1000	25	-	24	Microsoft Office 2010
msoia.exe	16.0.12008.20000	20	-	1	Microsoft Office
sdxhelper.exe	16.0.11929.20300	70	-	1	Microsoft Office
sdxhelper.exe	16.0.12325.20298	98	-	1	Microsoft Office
msohtmed.exe	14.0.7227.5000	3	-	3	Microsoft Office 2010
excel.exe	16.0.12718.20010	1	-	1	Microsoft Office
sdxhelper.exe	16.0.11328.20438	188	-	8	Microsoft Office
sdxhelper.exe	16.0.11929.20648	551	-	8	Microsoft Office
cmigrate.exe	15.0.4569.1503	118	-	5	Microsoft Office 2013
fltldr.exe	16.0.11929.20110	29	-	14	Microsoft Office
sdxhelper.exe	16.0.11328.20526	53	-	1	Microsoft Office
msoia.exe	16.0.11328.20492	8	-	1	Microsoft Office
msohtmed.exe	15.0.4454.1000	6	-	6	Microsoft Office 2013
msohtmed.exe	15.0.4420.1017	7	-	7	Microsoft Office 2013
officec2rclient.exe	16.0.11929.20296	79	-	2	Microsoft Office
excelcnv.exe	14.0.7015.1000	8	-	2	Microsoft Office 2010
officec2rclient.exe	16.0.12231.20000	83	-	1	Microsoft Office
officec2rclient.exe	16.0.11328.20390	7	-	1	Microsoft Office
