Platform	Name	Entity	Last IP address	Device type	Device model	CPU model	Total RAM [bytes]	Hard disks	OS version and architecture	DXS - Web browsing (DXS - Web browsing)	DXS - Business apps (DXS - Business apps)	DXS - Device (DXS - Device)	DXS - Productivity (DXS - Productivity)	Device (sentiment) (DXS - User sentiments)	Web browsing (sentiment) (DXS - User sentiments)	Business apps (sentiment) (DXS - User sentiments)	Productivity (sentiment) (DXS - User sentiments)	Security (sentiment) (DXS - User sentiments)	Employee Satisfaction (DXS - User sentiments)	DXS - Security (DXS - Security)	OS name
Windows	TXHQPPARRISH-L1	VPN (TX)	10.99.88.39	laptop	Latitude 7390 2-in-1	Intel Core i5-8350U CPU @ 1.70GHz	8589934592	LITEON CV8-8E256-11 SATA 256GB (238.5GB, 100% S.M.A.R.T.), Generic- SD/MMC CRW USB Device (0B)	Windows 10 Enterprise 1809 (64 bits)	8.8588	9.49144	9.49605	7.83024	10	10	10	10	10		10	Windows 10
Windows	TXHQPPASALA-D1	VPN (TX)	10.99.88.13	desktop	OptiPlex 9020	Intel Core i7-4770S CPU @ 3.10GHz	4294967296	LITEON (119.2GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	5.75128	9.29273	0	8.45692	10	10	10	10	10		0	Windows 10
Windows	TXHQPPATI-D5	Houston - 910 Corp (TX)	10.132.28.80	desktop	OptiPlex 7070	Intel Core i5-9500T CPU @ 2.20GHz	17179869184	SK hynix SC401 SATA 256GB (238.5GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)			9.51295	9.51097	10	10	10	10	10		10	Windows 10
Windows	TXHQPRAJAN-L1	VPN (TX)	10.99.88.131	laptop	Latitude E7270	Intel Core i5-6300U CPU @ 2.40GHz	8589934592	Intel (238.5GB, 60% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)	5.56084	9.79832	0	7.32151	10	10	10	10	10		10	Windows 10
Windows	TXHQPRAMADE-L1	-	10.72.103.76	laptop	Latitude 5400	Intel Core i5-8365U CPU @ 1.60GHz	8589934592	Toshiba (238.5GB)	Windows 10 Enterprise 1809 (64 bits)	6.51429	8.178	0	7.81147	10	10	10	10	10		0	Windows 10
Windows	TXHQPRANA30-D2	Houston - 910 Corp (TX)	10.133.28.51	desktop	OptiPlex 9020	Intel Core i7-4770S CPU @ 3.10GHz	8589934592	Intel (111.8GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)			9.70345		10	10	10	10	10		10	Windows 10
Windows	TXHQPRANA30-L1	VPN (TX)	10.99.83.96	laptop	Latitude 7490	Intel Core i5-8350U CPU @ 1.70GHz	8589934592	Samsung (238.5GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)			9.49825		10	10	10	10	10		10	Windows 10
Windows	TXHQPREED-L3	VPN (TX)	10.99.88.4	laptop	Latitude E7440	Intel Core i7-4600U CPU @ 2.10GHz	12884901888	KINGSTON SUV500MS240G (223.6GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	8.58959	9.24169	7	8.5299	10	10	10	10	10		0	Windows 10
Windows	TXHQPREYNOSO-L1	-	10.142.12.115	laptop	Latitude E7450	Intel Core i5-5200U CPU @ 2.20GHz	12884901888	SK hynix SH920 mSATA 128GB (119.2GB, 70% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	6.20052	9.64808	7.78694	8.92516	10	10	10	10	10		8.2	Windows 10
Windows	TXHQPRICHIE-L2	VPN (TX)	10.99.87.35	laptop	Latitude E7440	Intel Core i5-4310U CPU @ 2.00GHz	8589934592	LITEON (119.2GB, 70% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	7.624	9.47652	6.18546	7.73608	10	10	10	10	10		10	Windows 10
